epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,436.258,2.0709,2.47698,2.66523,0.6986,0.59125,0.71143,0.43069,2.63244,2.41424,3.4749,0.000462281,0.000462281,0.000462281
43,446.889,1.9827,2.41094,2.67024,0.64144,0.64897,0.64929,0.42844,2.47202,2.58516,3.3147,0.000438703,0.000438703,0.000438703
44,456.725,1.89301,2.35553,2.54488,0.62729,0.68719,0.71985,0.48114,2.61987,2.53933,3.38208,0.000415124,0.000415124,0.000415124
45,466.752,1.90821,2.27807,2.5937,0.72696,0.54283,0.68522,0.45126,2.65313,2.7828,3.43307,0.000391546,0.000391546,0.000391546
46,477.662,1.94156,2.3601,2.58258,0.62654,0.59321,0.66089,0.42615,2.3798,2.63196,3.20413,0.000367967,0.000367967,0.000367967
47,487.983,2.01705,2.41204,2.64731,0.80106,0.66743,0.76708,0.47127,2.46103,2.43418,3.27661,0.000344389,0.000344389,0.000344389
48,497.925,1.92717,2.17823,2.57091,0.71359,0.63737,0.73428,0.47574,2.48198,2.37932,3.33074,0.00032081,0.00032081,0.00032081
49,508.535,1.95224,2.23922,2.61009,0.65884,0.71974,0.72299,0.46433,2.45395,2.38757,3.20269,0.000297232,0.000297232,0.000297232
50,518.948,1.84805,2.06047,2.50852,0.76158,0.71201,0.7809,0.5049,2.30574,2.10777,3.08073,0.000273654,0.000273654,0.000273654
51,531.646,1.60491,1.89907,2.49915,0.79063,0.72332,0.81452,0.55909,2.29138,1.92133,3.06526,0.000250075,0.000250075,0.000250075
52,541.502,1.58491,1.80964,2.50011,0.74259,0.67877,0.78092,0.53371,2.37087,2.0088,3.14756,0.000226497,0.000226497,0.000226497
53,551.792,1.62572,1.70124,2.54766,0.79867,0.70728,0.80401,0.56405,2.30408,2.0382,3.0837,0.000202918,0.000202918,0.000202918
54,561.962,1.50058,1.62903,2.4512,0.71404,0.71776,0.77832,0.51119,2.47488,2.29324,3.3222,0.00017934,0.00017934,0.00017934
55,571.041,1.47477,1.52903,2.40389,0.80995,0.6993,0.83271,0.54122,2.37657,2.0101,3.22378,0.000155761,0.000155761,0.000155761
56,581.33,1.43829,1.50145,2.41225,0.83596,0.6201,0.79538,0.53682,2.45552,1.84266,3.20583,0.000132183,0.000132183,0.000132183
57,591.575,1.42769,1.50274,2.33862,0.69277,0.74244,0.78441,0.54194,2.39398,1.88937,3.16127,0.000108604,0.000108604,0.000108604
58,600.396,1.40217,1.44156,2.28827,0.75247,0.7541,0.80223,0.54466,2.36465,1.96841,3.13227,8.50255e-05,8.50255e-05,8.50255e-05
59,610.402,1.35059,1.39121,2.30703,0.82471,0.71829,0.82166,0.5415,2.39006,1.95217,3.14606,6.1447e-05,6.1447e-05,6.1447e-05
60,620.562,1.39469,1.39196,2.38079,0.89947,0.62289,0.81798,0.5382,2.39522,2.00289,3.13558,3.78685e-05,3.78685e-05,3.78685e-05
