epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,1739.5,0.26295,0.58965,0.28792,0.79075,0.70218,0.72772,0.51777,0.30328,0.81488,0.46881,0.000438703,0.000438703,0.000438703
44,1792.36,0.27171,0.55949,0.27661,0.79182,0.70696,0.74031,0.53142,0.27895,0.75991,0.41879,0.000415124,0.000415124,0.000415124
45,1843.35,0.27201,0.58284,0.2919,0.79069,0.63644,0.69428,0.50879,0.30025,0.78414,0.47518,0.000391546,0.000391546,0.000391546
46,1874.77,0.27996,0.55795,0.28681,0.791,0.59899,0.66116,0.4821,0.29052,0.99593,0.42605,0.000367967,0.000367967,0.000367967
47,1905,0.28297,0.57097,0.29007,0.82719,0.72246,0.72147,0.51797,0.29692,0.85398,0.46145,0.000344389,0.000344389,0.000344389
48,1938.84,0.27268,0.5295,0.2781,0.78705,0.72551,0.74704,0.53475,0.29695,0.76579,0.45983,0.00032081,0.00032081,0.00032081
49,1989.14,0.26818,0.51638,0.28196,0.77619,0.74164,0.77029,0.55679,0.28512,0.78549,0.45585,0.000297232,0.000297232,0.000297232
50,2044.19,0.2613,0.4824,0.26449,0.82086,0.75578,0.77251,0.53888,0.29369,0.69592,0.50416,0.000273654,0.000273654,0.000273654
51,2080.75,0.19211,0.34362,0.24523,0.78678,0.65798,0.67642,0.44598,0.34805,0.86062,0.59271,0.000250075,0.000250075,0.000250075
52,2137.45,0.18142,0.32084,0.22895,0.79711,0.71604,0.76004,0.51825,0.31197,0.79281,0.54402,0.000226497,0.000226497,0.000226497
53,2170.15,0.18763,0.3255,0.23541,0.81421,0.746,0.77402,0.54538,0.29605,0.78019,0.49543,0.000202918,0.000202918,0.000202918
54,2205.78,0.18175,0.3151,0.22898,0.78247,0.73161,0.783,0.55512,0.306,0.75286,0.49078,0.00017934,0.00017934,0.00017934
55,2264.78,0.18608,0.28708,0.22128,0.77293,0.80555,0.77389,0.53983,0.29362,0.78514,0.47618,0.000155761,0.000155761,0.000155761
56,2298.53,0.18024,0.2903,0.23279,0.7705,0.78744,0.75655,0.51437,0.29916,0.82044,0.4738,0.000132183,0.000132183,0.000132183
57,2336.43,0.1653,0.28451,0.2026,0.71622,0.79928,0.76547,0.54508,0.30287,0.76324,0.48946,0.000108604,0.000108604,0.000108604
58,2373.89,0.1658,0.2792,0.19655,0.80845,0.79738,0.80484,0.58024,0.28716,0.76044,0.46277,8.50255e-05,8.50255e-05,8.50255e-05
59,2431.19,0.15871,0.2749,0.19778,0.80825,0.82145,0.80351,0.57276,0.28477,0.75846,0.43535,6.1447e-05,6.1447e-05,6.1447e-05
60,2467.87,0.16408,0.28331,0.21703,0.79209,0.83736,0.80175,0.57317,0.29062,0.74366,0.44687,3.78685e-05,3.78685e-05,3.78685e-05
