epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,381.783,0.95754,0.97347,1.28927,0.62883,0.78926,0.76419,0.53823,1.25344,1.25468,1.65051,0.000462281,0.000462281,0.000462281
43,391.146,0.91414,0.91438,1.2894,0.74475,0.79927,0.80813,0.54847,1.21931,1.16424,1.63002,0.000438703,0.000438703,0.000438703
44,399.869,0.86091,0.88443,1.22776,0.84791,0.65391,0.80854,0.53125,1.26769,1.1053,1.63187,0.000415124,0.000415124,0.000415124
45,409.331,0.91767,0.92231,1.27353,0.83471,0.7509,0.82053,0.57531,1.20621,1.09635,1.59085,0.000391546,0.000391546,0.000391546
46,418.931,0.89051,0.90321,1.24743,0.62067,0.83081,0.77436,0.53368,1.20323,1.22348,1.57005,0.000367967,0.000367967,0.000367967
47,427.023,0.91853,0.89987,1.27095,0.79129,0.76937,0.80361,0.55793,1.1839,1.17734,1.56503,0.000344389,0.000344389,0.000344389
48,436.689,0.88044,0.85248,1.22832,0.80201,0.78832,0.81506,0.54955,1.18925,1.14656,1.56113,0.00032081,0.00032081,0.00032081
49,446.306,0.87783,0.87578,1.24741,0.58362,0.73522,0.76468,0.51368,1.23408,1.36812,1.59676,0.000297232,0.000297232,0.000297232
50,454.015,0.80593,0.81172,1.19028,0.65051,0.59957,0.728,0.46989,1.22881,1.4003,1.60277,0.000273654,0.000273654,0.000273654
51,466.537,0.73167,0.72401,1.19029,0.68191,0.65137,0.69602,0.4409,1.35795,1.5743,1.77735,0.000250075,0.000250075,0.000250075
52,476.05,0.74358,0.70223,1.21287,0.69726,0.64703,0.68458,0.41616,1.39766,1.60203,1.86661,0.000226497,0.000226497,0.000226497
53,483.465,0.70077,0.642,1.17925,0.82464,0.57019,0.73961,0.48469,1.21342,1.32568,1.5956,0.000202918,0.000202918,0.000202918
54,493.092,0.70845,0.60768,1.17659,0.70535,0.73978,0.75088,0.49563,1.15737,1.16059,1.55579,0.00017934,0.00017934,0.00017934
55,501.746,0.67155,0.58098,1.14078,0.76398,0.72691,0.78436,0.52529,1.14603,1.10306,1.53603,0.000155761,0.000155761,0.000155761
56,510.278,0.65991,0.58438,1.1532,0.81989,0.80303,0.84292,0.5807,1.10157,0.97724,1.51493,0.000132183,0.000132183,0.000132183
57,519.621,0.65749,0.58576,1.11732,0.77358,0.8608,0.85419,0.59832,1.09198,0.95303,1.50924,0.000108604,0.000108604,0.000108604
58,527.904,0.62163,0.55127,1.09548,0.77211,0.83084,0.85057,0.59646,1.10872,0.97229,1.52067,8.50255e-05,8.50255e-05,8.50255e-05
59,537.004,0.61662,0.53268,1.1189,0.78746,0.81243,0.83729,0.57596,1.10818,0.96636,1.51625,6.1447e-05,6.1447e-05,6.1447e-05
60,546.453,0.63306,0.53324,1.14106,0.76525,0.83999,0.82362,0.56816,1.10707,0.97245,1.52238,3.78685e-05,3.78685e-05,3.78685e-05
